Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,-8,Does not apply,41110
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",53124
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",112159
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,3,L7: Intermediate occupations,75606
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,60885
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,37751
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,92267
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,7,L13: Routine occupations,98831
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,96627
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,9,L15: Full-time students,31640
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,-8,Does not apply,649735
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",383479
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",618159
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,352036
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,296688
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,169322
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,319117
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,7,L13: Routine occupations,333910
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,159304
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,9,L15: Full-time students,215495
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,-8,Does not apply,65
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",249
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",549
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,3,L7: Intermediate occupations,255
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,275
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,158
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,404
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,7,L13: Routine occupations,529
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,443
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,9,L15: Full-time students,135
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,-8,Does not apply,1032
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2180
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2923
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,1033
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,1135
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,486
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,1057
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,7,L13: Routine occupations,1201
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,659
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,9,L15: Full-time students,781
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,-8,Does not apply,1258
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",697
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1330
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,3,L7: Intermediate occupations,885
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,1018
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,763
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,1355
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,7,L13: Routine occupations,4460
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,1808
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,9,L15: Full-time students,1019
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,-8,Does not apply,42340
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",10881
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",16696
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,9981
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,14645
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,12317
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,15457
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,7,L13: Routine occupations,57552
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,9664
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,9,L15: Full-time students,14387
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,-8,Does not apply,13
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",34
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",44
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,3,L7: Intermediate occupations,16
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,32
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,19
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,41
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,7,L13: Routine occupations,45
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,103
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,9,L15: Full-time students,56
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,-8,Does not apply,666
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",469
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",529
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,237
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,670
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,237
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,354
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,7,L13: Routine occupations,716
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,832
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,9,L15: Full-time students,573
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,-8,Does not apply,39
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",16
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",20
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,3,L7: Intermediate occupations,5
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,17
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,15
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,11
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,7,L13: Routine occupations,25
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,119
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,9,L15: Full-time students,40
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,-8,Does not apply,1059
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",520
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",214
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,106
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,137
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,96
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,171
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,7,L13: Routine occupations,337
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,954
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,9,L15: Full-time students,555
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,-8,Does not apply,27
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",21
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",47
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,3,L7: Intermediate occupations,32
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,19
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,13
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,59
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,7,L13: Routine occupations,67
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,114
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,9,L15: Full-time students,52
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,-8,Does not apply,1891
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",960
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",779
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,602
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,380
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,227
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,1544
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,7,L13: Routine occupations,1431
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,1032
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,9,L15: Full-time students,2151
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,7,L13: Routine occupations,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,-8,Does not apply,9,L15: Full-time students,0
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,-8,Does not apply,21
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",38
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",72
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,3,L7: Intermediate occupations,47
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,42
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,18
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,77
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,7,L13: Routine occupations,63
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,113
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,9,L15: Full-time students,65
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,-8,Does not apply,635
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",570
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1030
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,594
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,406
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,221
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,952
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,7,L13: Routine occupations,536
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,573
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,9,L15: Full-time students,832
E12000003,Yorkshire and The Humber,8,Middle East and Asia: Middle East,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,8,Middle East and Asia: Middle East,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,8,Middle East and Asia: Middle East,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000003,Yorkshire and The Humber,8,Middle East and Asia: Middle East,-8,Does not apply,3,L7: Intermediate occupations,0
E12000003,Yorkshire and The Humber,8,Middle East and Asia: Middle East,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000003,Yorkshire and The Humber,8,Middle East and Asia: Middle East,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
